r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime
Argentina,NM,0.008662459774152986,0.9883467283737265,0.9829085349481322,139,TRUE,,0.017648432374107164,0.8751366504081435,0.0020075474346674133,0.5236842888412424,0.5149786961274382,0.06621768257507817,0.5379127928225655,0.04219344259956221,1.030508008561366,0.0037397691218494485,-0.99,3,99.99999999999991,0.25,-167.3377678038968,-159.38930829239277,-159.87110113723014,-163.3377678038968,-153.11831986053446,-149.49161395774297,580.1458032131195
Australia and New Zealand,NM,0.0018820904182811932,0.9974376791643257,0.996241929441011,297,TRUE,,0.032137027937018926,0.9318474044551719,0.001694804420287807,0.7694663192993186,0.052360577549075346,0.11431162626631965,0.5519773445143754,0.3625075918118306,1.3386214600929802,1.8681664275416584e-5,-0.3899999999999999,46,1.6393442622950818,0.02127659574468085,-202.44992745718787,-194.50146794568383,-194.9832607905212,-198.44992745718787,-188.23047951382551,-184.60377361103403,411.3548309803009
Brazil,NM,0.004516055742156896,0.992044048067037,0.988331270498321,451,TRUE,,0.06240610140903756,0.912775078567342,0.001383996374657921,0.759263965341692,0.301266553624706,2.8963266585787958e-15,0.9482059029133802,6.4535859606656565e-18,1.2451440422869626,2.352101988176481e-10,0.81,0.41000000000000014,0.5524861878453039,0.7092198581560283,-182.31904162514792,-174.37058211364388,-174.85237495848125,-178.31904162514792,-168.09959368178556,-164.47288777899408,573.1291589736938
Canada,NM,0.023760876631199766,0.9285557271451028,0.8952150664794841,145,TRUE,,0.0175928531776243,0.925289510842771,0.001963795593649849,0.7096129154124091,0.5093516170426724,0.74090588073811,0.5367241081720229,0.19264069005470877,1.0337339569950075,0.026073704038263024,100,0.41000000000000014,0.009900990099009901,0.7092198581560283,-144.12980943443364,-136.1813499229296,-136.66314276776697,-140.12980943443364,-129.91036149107128,-126.2836555882798,345.3197751045227
Caribbean Extended,NM,0.009670336693597913,0.9904289955944219,0.9859625268718187,517,TRUE,,0.011712114705014647,0.971882103905073,0.0021804065698888594,0.87648942342844,0.10249039960518216,0.38443471476226404,0.6481253996963448,0.6412973460152183,1.6029525078220366,0.08877424261724391,0.1100000000000001,67,0.9009009009009008,0.014705882352941176,-164.80628645678638,-156.85782694528234,-157.3396197901197,-160.80628645678638,-150.58683851342403,-146.96013261063254,538.7395808696747
Central America,NM,0.01031677529820952,0.9929552765218808,0.9896677388987585,223,TRUE,,0.01324214416211625,0.9622202303325764,0.0021357509055192885,0.837931093009951,0.5469640691403177,0.41005613287945214,0.5134005609696749,0.08664579148281605,1.086905469099076,0.022177053025318784,5,6,0.16666666666666666,0.14285714285714285,-163.31799986018993,-155.3695403486859,-155.85133319352326,-159.31799986018993,-149.09855191682757,-145.4718460140361,423.1167697906494
Central Asia Extended,NM,0.020639774302897283,0.9943522856770066,0.9917166856596097,261,TRUE,,0.01648502130881659,0.9584433261300531,0.002038078706317528,0.8299502776608925,0.5760578386229489,0.09540789814906807,0.49365101980241033,0.2537371812545858,1.0536014489713776,0.03166832123494822,-0.08999999999999997,15,1.0989010989010988,0.0625,-147.36867825378175,-139.4202187422777,-139.90201158711508,-143.36867825378175,-133.1492303104194,-129.5225244076279,498.76997900009155
Chile,NM,0.012231319190653348,0.9904053548603887,0.9859278537952368,487,TRUE,,0.012095144581758234,0.8823730901174832,0.002180871411496592,0.5143230554079959,0.19125142801482847,0.25378976619296306,0.5861766034064969,0.17597221365514518,1.2122378362767985,3.94940596474955e-11,0.6100000000000001,16,0.6211180124223602,0.058823529411764705,-159.40274277546897,-151.45428326396492,-151.9360761088023,-155.40274277546897,-145.1832948321066,-141.55658892931513,548.6972441673279
China,NM,0.052424229130261665,0.9924512748173349,0.9889285363987578,805,TRUE,,0.026929697979155835,0.9735267897204669,0.0018402877331968684,0.9016592198384061,-0.0014700283412417523,0.9895238665370057,-3.474659817820731,0.556748878709543,0.6290791228921311,0.5053475281291866,0.010000000000000009,0.51,0.9900990099009901,0.6622516556291391,-125.92925431682332,-117.98079480531928,-118.46258765015665,-121.92925431682332,-111.70980637346096,-108.08310047066948,615.347815990448
EU27,NM,0.0070776534689650705,0.9977878860446561,0.9967555661988289,405,TRUE,,0.014505015953980242,0.9804823000998811,0.002093094299948337,0.9175356055036007,0.25021613594792463,0.07412707941728745,0.62121524960096,0.7101042766118062,1.3454795459172013,0.09069393330760024,-0.99,56,99.99999999999991,0.017543859649122806,-171.98506268079785,-164.0366031692938,-164.51839601413118,-167.98506268079785,-157.7656147374355,-154.138908834644,516.5377490520477
Eastern Africa,NM,0.01499230519568402,0.9187262166774681,0.8807984511269532,147,TRUE,,0.01757589615375,0.8859808785719525,0.0019820400859173757,0.5655148844111237,0.5363598908840892,0.2520616087708779,0.5158995145177914,0.9438159939099805,1.033631812048418,0.14376765628266464,0.41000000000000014,100,0.7092198581560283,0.009900990099009901,-154.72138548488488,-146.77292597338084,-147.2547188182182,-150.72138548488488,-140.50193754152252,-136.87523163873104,376.3047559261322
India,NM,0.009755190957597054,0.9975255972782969,0.9963708760081689,469,TRUE,,0.004689607231406417,0.9594488662800433,0.002670915059616895,0.7835428063811922,0.18551545529341407,0.06998462792997165,0.7222647159798916,1.603694010361196e-17,2.0511204354651187,2.6614465807569457e-5,-0.18999999999999995,-0.99,1.2345679012345678,99.99999999999991,-164.6053487504533,-156.65688923894925,-157.13868208378662,-160.6053487504533,-150.38590080709093,-146.75919490429945,452.9144539833069
Japan,NM,0.008969407708760486,0.7968553380876898,0.702054495861945,1687,TRUE,,5.425877726620068e-5,0.7603202282629062,0.004861061206371194,0.002779708205408745,0.43479713849284407,0.7876173383146076,1.0856097952527555,0.8797139818049378,0.32793234444298747,0.7055471728489975,18,30,0.05263157894736842,0.03225806451612903,-166.53688657896143,-158.5884270674574,-159.07021991229476,-162.53688657896143,-152.31743863559907,-148.6907327328076,384.3804290294647
Levant,NM,0.01775308173533682,0.9906166687043756,0.9862377807664175,145,TRUE,,0.01759685498982356,0.9449551332206045,0.0019606984588504423,0.7843904547572115,0.5337717242559008,0.014020935134758612,0.5155969713891885,0.6055400035145885,1.036756144603212,0.0013044002646864213,-0.49,63,1.9607843137254901,0.015625,-150.83387862885624,-142.8854191173522,-143.36721196218957,-146.83387862885624,-136.6144306854939,-132.9877247827024,469.7623989582062
Mexico,NM,0.009982824966476582,0.9620870815580509,0.9443943862851413,565,TRUE,,0.0018834916855468293,0.9627107838231568,0.003104098616859505,0.7691337408332563,0.22898205903678867,0.6845243948272972,1.095768150144469,0.0011561894943013344,0.6578904130963366,0.17873527100219525,0.1100000000000001,7,0.9009009009009008,0.125,-164.0748177829966,-156.12635827149256,-156.60815111632994,-160.0748177829966,-149.85536983963425,-146.22866393684276,407.72822403907776
Middle Africa,NM,0.042357006764752084,0.9795490449221378,0.970005265885802,273,TRUE,,0.034660017869487095,0.9693746603070802,0.001710084660903008,0.8943880172948051,0.4790212136011993,0.6165470199067224,0.37067142573677414,0.08615015714345142,1.0117921122116549,0.0422998213853314,9,-0.99,0.1,99.99999999999991,-130.83365968567927,-122.88520017417522,-123.3669930190126,-126.83365968567927,-116.61421174231691,-112.98750583952543,505.95339584350586
Non-EU Europe,NM,0.012475084771158173,0.9698013251296913,0.9557086101902139,277,TRUE,,0.013244012576684557,0.8720457569598148,0.0021378931641220216,0.4862782849462449,0.8395310045277975,0.9999955929823339,0.2538452554596272,0.787825000307735,0.6886116158455087,9.544818709244733e-11,18,6,0.05263157894736842,0.14285714285714285,-158.94886933431215,-151.0004098228081,-151.48220266764548,-154.94886933431215,-144.7294213909498,-141.1027154881583,580.2459788322449
Northern Africa,NM,0.02895534048707355,0.9741439550511438,0.9620778007416776,225,TRUE,,0.024726671542279213,0.9094634062054703,0.001800536694065243,0.6792562680718748,0.5154775662467108,0.110455745697399,0.6227373008185154,0.7634544043653069,0.9331517807928709,8.771513630239995e-12,-0.79,99,4.761904761904763,0.01,-139.58238120780823,-131.63392169630418,-132.11571454114156,-135.58238120780823,-125.36293326444587,-121.73622736165439,537.892303943634
Peninsular West Asia,NM,0.011930861989571934,0.9914632395824757,0.9874794180542977,425,TRUE,,0.04093515090808821,0.9549501586477834,0.0015623671271689935,0.8584860183364361,0.04857877364791048,0.6736615749598158,0.918372609490677,3.228835331371798e-6,1.044605329319893,1.8599605162255786e-4,3,18,0.25,0.05263157894736842,-159.9747831717174,-152.02632366021336,-152.50811650505074,-155.9747831717174,-145.75533522835505,-142.12862932556357,390.6495759487152
Republic of Korea,NM,0.04236283935204832,0.9659311809038896,0.9500323986590381,147,TRUE,,0.017573001681160244,0.9614111723934622,0.0019831150855226993,0.8461745800850776,0.5159076712034949,0.6365095776061502,0.5336276197159231,0.9502441979024506,1.0363846959799858,0.004829481068246833,77,100,0.01282051282051282,0.009900990099009901,-130.83049278880267,-122.88203327729863,-123.363826122136,-126.83049278880267,-116.61104484544032,-112.98433894264883,381.8734538555145
Russia,NM,0.006959393329081685,0.992182075006669,0.9885337100097812,1039,TRUE,,2.2173016951472648e-4,0.7964484171940837,0.0041749241417808145,0.029385824237605804,0.9277394525982254,0.46371434640781556,0.610901968651095,0.025828390592314246,0.838584801562201,0.2575964630708703,0.81,0.2100000000000002,0.5524861878453039,0.8264462809917354,-172.37261536369584,-164.4241558521918,-164.90594869702917,-168.37261536369584,-158.1531674203335,-154.526461517542,500.21186804771423
South Africa,NM,0.011285550898248162,0.9799772947691252,0.9706333656613836,239,TRUE,,0.015613705490630483,0.8850558934803825,0.0020491266649319403,0.549188846943695,0.38000148729404803,4.552250897765936e-5,0.6739400691128166,0.9948634827966922,0.9913457668156244,4.088552728841709e-6,0.9100000000000001,100,0.5235602094240838,0.009900990099009901,-161.25370418642024,-153.3052446749162,-153.78703751975357,-157.25370418642024,-147.03425624305788,-143.4075503402664,418.8019781112671
South America Cluster,NM,0.02338667242817071,0.9856249954671384,0.9789166600184697,967,TRUE,,0.0014616770167251345,0.9340182209851143,0.003200831826056772,0.5921886176053557,0.11111069837235718,0.8412470282469354,2.754004219041428,0.01004710873269362,0.44566473180766863,0.0022737708618833417,60,2,0.01639344262295082,0.3333333333333333,-144.49491335061106,-136.54645383910702,-137.0282466839444,-140.49491335061106,-130.2754654072487,-126.64875950445722,527.3631081581116
South-eastern Asia,NM,0.007350245196306967,0.9969430698866426,0.9955165025004091,565,TRUE,,0.03966564513503937,0.939526817520941,0.0015880599512178252,0.8075340190944723,0.46492844759435203,0.04854366472424561,0.9843548548927437,1.149225859604362e-12,1.5130339022063937,0.006201035959295882,-0.89,19,9.090909090909092,0.05,-171.11586391062784,-163.1674043991238,-163.64919724396117,-167.11586391062784,-156.89641596726548,-153.269710064474,440.6187391281128
Southern Africa Cluster,NM,0.02417651918987569,0.9773349903430654,0.9667579858364959,401,TRUE,,0.02343560329472573,0.9787918830097195,0.0018605727936381162,0.9203404714024591,0.09479682550795945,0.5008175952638034,0.43442522787492277,0.4941361835516857,1.6128437123465664,0.22040572383516568,-0.3899999999999999,25,1.6393442622950818,0.038461538461538464,-143.73095512628856,-135.78249561478452,-136.2642884596219,-139.73095512628856,-129.5115071829262,-125.88480128013472,563.9897611141205
Southern Asia Cluster,NM,0.005776605105337408,0.9976426194382568,0.9965425085094434,421,TRUE,,0.027126960010180078,0.9648639106503513,0.0017905296486670716,0.8732853766947657,0.11451484466979668,0.011112288965358609,0.5870923914526469,0.24607607132106746,1.8241822477351957,1.1150221455430064e-4,-0.79,89,4.761904761904763,0.011111111111111112,-176.6569667464809,-168.70850723497685,-169.19030007981422,-172.6569667464809,-162.43751880311854,-158.81081290032705,426.5797770023346
Switzerland,NM,0.005969346505658625,0.9831056239924284,0.9752215818555616,259,TRUE,,0.01293509037808294,0.9202275223665127,0.0021280985950452294,0.6666779107157244,0.27388494290125875,0.40003918040231,1.089654182630799,5.453370441199973e-8,1.041355051104151,0.025141959103152946,5,0.6100000000000001,0.16666666666666666,0.6211180124223602,-175.9020768403521,-167.95361732884805,-168.43541017368543,-171.9020768403521,-161.68262889698974,-158.05592299419826,385.62308406829834
Tropical Pacific Islands,NM,0.014747836022465294,0.9891186713227202,0.9840407179399897,789,TRUE,,0.0035066715954585456,0.917109347101841,0.002793899479870663,0.5569282753537267,0.14047252273821384,0.020772088182489115,0.013265518647046823,0.7394395721692785,1.6861516197015125,4.845107190873953e-15,-0.49,32,1.9607843137254901,0.030303030303030304,-155.0995220642856,-147.15106255278155,-147.63285539761893,-151.0995220642856,-140.88007412092324,-137.25336821813175,580.1033298969269
United Kingdom,NM,0.006618761923325374,0.9671611559292801,0.9518363620296107,147,TRUE,,0.017576993011386807,0.9464661438115612,0.001980340486348251,0.7879892221832401,0.5363958425131597,0.43867631497361687,0.5336558501887119,0.36671435345530534,1.0158757121277198,0.20067250455426397,-0.99,12,99.99999999999991,0.07692307692307693,-173.52684675126838,-165.57838723976434,-166.0601800846017,-169.52684675126838,-159.30739880790603,-155.68069290511454,358.309445142746
United States,NM,0.0069738518964933705,0.9818555481102195,0.9733881372283218,147,TRUE,,0.017544342058427344,0.8978975661817027,0.00199740362252418,0.6041152505695109,0.5362973294515879,0.10181028792270833,0.5159945045813827,0.7604366542683376,1.033674499410812,0.06748248876562567,-0.99,100,99.99999999999991,0.009900990099009901,-172.32488101832976,-164.37642150682572,-164.8582143516631,-168.32488101832976,-158.1054330749674,-154.47872717217592,545.903470993042
Western Africa,NM,0.019489035707433926,0.9920449857050033,0.9883326457006716,407,TRUE,,0.01978077759615274,0.9943603034116332,0.0019648417196359317,0.9775943728018835,0.08581272721818656,0.7913892282508488,0.5529658931146969,0.538766007464345,1.3888597994307017,0.6061482386992327,0.9100000000000001,2,0.5235602094240838,0.3333333333333333,-148.68814155444886,-140.73968204294482,-141.2214748877822,-144.68814155444886,-134.4686936110865,-130.84198770829502,447.76259207725525
