r,method,time,converged,iter,rss,R2,gamma,lambda,d_KL,d_VAE,nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,se_gamma,se_lambda,se_delta1,se_delta,se_nu,p_gamma,p_lambda,p_delta1,p_delta,p_nu
Argentina,LM,3.639530897140503,TRUE,251,0.0077869681729887,0.9894135953633354,3.614907355079663e-6,0.006228796415098676,1,0.27241060172339016,0.644752187560585,NA,0,NA,1,9.679258765244425e-4,0.1331650600931406,132.460514074776,13.500532590799912,14.856210531911792,0.9970201519224153,0.9626925499635688,0.9891487304764655,0.9839015635958313,0.9653830720531029
Australia and New Zealand,LM,4.903099060058594,FALSE,588,9.513450069991275e-4,0.9987029686733729,1.5802163235787856e-14,0.015797683791629602,0.16481732314859443,0.7189123199975485,0.652317636733434,NA,1,NA,0.5,2.0565537323248395e-11,0.6471503546662452,14.4455181406112,32.3085738112078,40.620116886222476,0.9993869209136494,0.9805246552885127,0.9908966682208338,0.9822473838457604,0.9871873386654046
Brazil,LM,7.4412150382995605,FALSE,453,0.003616066417015884,0.993596359914085,8.071371039180827e-5,0.00468404958925723,0.3181537716678963,0.9984386862104403,1.1619835849486257,NA,1,NA,0.5,0.05228563027051834,0.3220225948372161,2.974912914725785,5.4018787024887756,13.939751014197023,0.9987683002489292,0.988394606080524,0.9148321570257969,0.8533610051082685,0.9335672358910423
Canada,LM,1.0758049488067627,TRUE,283,0.0019879190348601077,0.9939867764662097,2.7934537479478466e-13,0.014372543233357417,1,0.07487133889089304,0.44016674697539127,NA,1,NA,0.5,1.1013955549904223e-10,0.19609622319815176,2372.0311339406844,42.68376659048287,19.904623735381342,0.9979763390027314,0.9415727072900781,0.998733353450943,0.9986004361965899,0.9823571832247897
Caribbean Extended,LM,3.4880101680755615,FALSE,454,0.0033151334964502573,0.9967086000702213,1.1295270409963545e-10,0.011383708381777737,0.07207648425132365,0.6886498878560473,1.5504719615589218,NA,-1,NA,NA,9.473755342209133e-8,0.4171825868022923,4.980861827320018,8.382733911471824,30.763732484648234,0.9990487067261626,0.9782307353901591,0.9884544665207251,0.9345266461379873,0.9598041584795252
Central America,LM,8.460785150527954,FALSE,546,0.0012216996955413761,0.9991649848203292,3.988276217373359e-14,0.015336176095936477,0.3985167634814808,0.8676320932382289,0.7380331932937991,NA,1,NA,0.5,4.595569382209891e-11,0.5727746177775762,20.455976473577397,8.734442118631895,26.25399705511684,0.9993075540038792,0.9786390042061304,0.9844568524589912,0.9208726275070969,0.9775734056639487
Central Asia Extended,LM,4.042679071426392,FALSE,559,0.006082675733363715,0.998325326132496,9.641688888322274e-22,0.02409038937782053,1,0.9036306207974231,0.039735677151247664,NA,1,NA,0.5,5.663920457671098e-19,0.29200238966425346,2610.632420349616,11.508849418769877,8.325841354546244,0.9986417621776154,0.9342485948584314,0.9961542960041379,0.9374174789581236,0.9961920529584338
Chile,LM,3.301086902618408,TRUE,225,0.004087886332904967,0.9967830130010603,1.6157084470620783e-13,0.014642707568086652,0.3519696824394355,1,0.5976863884781092,NA,-1,NA,NA,4.6156928709379944e-11,0.142022984940599,7.260658772662896,23.13717962255763,7.597237963654203,0.9972070364558363,0.9178828348525634,0.9613366729921415,0.9610506337387599,0.937293885377505
China,LM,7.154962062835693,FALSE,581,0.028158083569328543,0.9959162195040523,4.46286052422195e-22,0.02440039419767998,0,0,0.723275373758188,NA,1,NA,0.5,2.825967807563983e-19,0.3149481531176123,0.7341594193389827,42.839025148150164,16.96058882597507,0.9987399552041423,0.9382462190260497,0.985550229261025,0.986388217474534,0.9659849433176368
Eastern Africa,LM,1.539397954940796,TRUE,286,0.001565587259570529,0.9914402521454017,1.5495228012686165e-5,0.005505909877360289,0.21897549512401496,0.9109786061512006,1.4910671129893311,NA,1,NA,0.5,0.005468252511680552,0.17553032210814062,6.0727655238779255,8.289611661485518,29.1127959017571,0.9977390607647807,0.9749766300145737,0.9712356237770285,0.9124934389039161,0.9591526864543043
EU27,LM,9.514894962310791,FALSE,564,0.005062189844748079,0.9984145122153057,3.334977543212186e-17,0.01885236989203386,0.30160931731916424,1,0.7341777567652905,NA,-1,NA,NA,8.054423082398812e-14,1.2008296910612004,15.7747060056543,43.832928253280855,45.79510877667217,0.9996696315814182,0.9874741629906494,0.9847455314758817,0.9807467499855749,0.9872090268912015
India,LM,4.5056540966033936,FALSE,555,0.007985620508980256,0.9979701409476435,4.014522683796927e-18,0.01989847889311116,0.22066693289887765,0.6924082764792882,1.29235649646928,NA,-1,NA,NA,3.859649925460588e-15,0.47790966361282544,7.194485430130944,4.619340937449115,23.871045026004282,0.9991700995808692,0.9667884870368528,0.9755313790548095,0.8808487944848686,0.9568243538768515
Japan,LM,2.618690013885498,TRUE,15,0.0010606244147690462,0.9753870825124656,1.2685031229555283e-12,0.013622711659842433,0,0,0.488944169554904,NA,-1,NA,NA,3.29292755618704e-10,0.12905644112606915,729.7116262716235,50.48844095390192,26.71577067605934,0.996926392893096,0.9159344523546131,0.996486840416954,0.9972285951042534,0.9853981668302272
Levant,LM,8.416706085205078,FALSE,587,0.0031757705618791496,0.9983174228900035,3.3857297907407476e-17,0.018851561036820178,0.4571043001455706,0.6413193497692244,0.697018284199858,NA,1,NA,0.5,1.988354413677148e-14,0.29195535798363587,14.751668134735448,10.417491271795164,13.43327613083677,0.9986413789196447,0.9485163616369943,0.9752802121197,0.9509118109656971,0.9586183837083908
Mexico,LM,2.629848003387451,FALSE,499,0.005762766279752511,0.9776241751771304,1.1513603254490002e-14,0.015960393283595265,1,1,9.832170664987129e-6,NA,0,NA,1,8.940291698594047e-12,0.38615858618591364,2225.755961219524,10384251932.214067,18.756627717953716,0.9989724581650863,0.9670318695470468,0.997953903194766,0.999999581671025,0.9999995817511926
Middle Africa,LM,8.186537981033325,FALSE,452,0.0424674371496051,0.9790723910705199,1.0211017070516517e-8,0.009146623906503337,1,0.002668784266473021,0.7292919953588212,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-EU Europe,LM,4.059809923171997,TRUE,272,0.004121590313683025,0.9899222400237577,2.773198590656367e-14,0.015531697632809132,1,0.06083166310498061,0.7746896563942919,NA,0,NA,1,8.066810559209564e-12,0.14462137701361466,178.20515624931699,5.800969210109571,4.438832857668486,0.9972570472990749,0.9144751555670092,0.9887113593667411,0.9916331644776857,0.8614524687241967
Northern Africa,LM,4.1053478717803955,FALSE,585,0.005348676405310098,0.9951921344878352,2.7247795019029816e-20,0.022402542070916628,1,0.46540104590425657,0.12184752228806137,NA,1,NA,0.5,9.193154424193584e-18,0.16791363559579497,819.6051490883774,122.82132385638462,15.260325363473337,0.9976351356534188,0.8938635612700234,0.9978043608031291,0.9969766209252897,0.9936292823728308
Peninsular West Asia,LM,6.899902105331421,TRUE,423,0.00844928207566341,0.9939176038417182,1.7254968926674332e-10,0.011173053280556285,0.17211953230154592,1,0.7953657539492154,NA,1,NA,0.5,1.2836126183373653e-7,0.3698980886741502,5.233138648772445,10.331570322871158,12.13341240956249,0.9989274436102666,0.9759029539732704,0.9737620631839623,0.919628929102027,0.9477347478625795
Republic of Korea,LM,8.617143154144287,FALSE,586,0.005191189129866492,0.9957961709752303,2.6013656133060484e-20,0.022420360202259154,1,0.031975302992724906,0.6090850494350145,NA,1,NA,0.5,9.92388369590044e-18,0.18963331984396994,6181.737173786924,21.217402818189168,14.322723273433095,0.9979084931399209,0.9058853666234801,0.9988509786878754,0.9987975629653463,0.9660795569432183
Russia,LM,2.3893399238586426,TRUE,9,0.0027299676468040338,0.9969238214792756,2.5158822985232917e-8,0.008708729342129412,1,0.715837217208433,0.1519908029537342,NA,1,NA,0.5,5.3077398926496085e-6,0.1048132223975639,1251.7143327294589,82.54259937429201,34.85210421389662,0.9962180209157119,0.9337815043510258,0.9976383897030643,0.9930805631432733,0.9965204186835259
South Africa,LM,3.665036916732788,TRUE,447,0.0016521559438288451,0.9970601449571166,2.4899047279460376e-10,0.010996468271623962,0.7105127807389499,1,0.37080578456185526,NA,-1,NA,NA,9.90658390260882e-8,0.19768802476944547,15.974224294237198,16.82463535514551,10.144774411550388,0.9979946119992722,0.9556402584937647,0.964522827582849,0.9378905852122341,0.9708426887296311
South America Cluster,LM,4.913025140762329,FALSE,574,0.002801007536388363,0.9982694861800808,5.152835975470096e-21,0.023219497581309208,1,0.6952747309861685,0.32471212036721925,NA,-1,NA,NA,4.694333800805723e-18,0.45322432023525216,175.54711312146281,53.76486615563573,23.64210577648893,0.9991241851095352,0.9591408126330823,0.994137606391214,0.9896822302073975,0.9890418118912858
South-eastern Asia,LM,8.123044967651367,FALSE,582,0.0013979795417746084,0.9994181726403321,1.9781707743576435e-16,0.017971667067567455,1,0.8025001503974706,0.5810489014117259,NA,-1,NA,NA,1.1545346578226628e-13,0.2902914041690648,73.09676264935422,14.287512185017425,26.23222813116635,0.998632911418871,0.9506352549465793,0.9877993252152677,0.9552080197058379,0.9823281484995314
Southern Africa Cluster,LM,7.210934162139893,TRUE,146,0.018702473180773477,0.9821539012447791,3.11997301223777e-13,0.014306760578346482,1,0.08727036041125916,0.7805498377329266,NA,-1,NA,NA,1.2867524238693508e-10,0.20507193531094628,310.8407507984033,13.50622129199888,13.069733006155937,0.9980653808679991,0.9443810273312601,0.9951038439181248,0.9948445100110037,0.9523770956638271
Southern Asia Cluster,LM,4.621138095855713,FALSE,581,0.004264459740205976,0.9982557798319875,6.888637790649155e-17,0.01849317039237885,0.11176627847208302,0.7792085309074489,1.127404941644892,NA,-1,NA,NA,1.2378559283145385e-13,0.8934058426869428,4.920283163469808,30.227333102950062,40.032004432066934,0.9995559792275734,0.983485264166821,0.9818772788877064,0.9794341894515648,0.9775324739584821
Switzerland,LM,1.4422028064727783,TRUE,42,0.0035181388322337846,0.9899428649186827,1.4401291946438096e-12,0.013556300880585355,1,0.8052625511795479,0.2823538869179309,NA,1,NA,0.5,9.045978560122148e-10,0.3124205472132127,174.04466867272282,25.834845115540094,28.650348999444677,0.9987297600177241,0.965389696478556,0.9926220597070641,0.9751342602659046,0.9921368441157246
Tropical Pacific Islands,LM,8.1663179397583,TRUE,426,0.024211125546651682,0.9818115037781096,3.542205404107252e-16,0.01768418066434106,0.5710709323863349,0.04637026328788765,1.0833903954621564,NA,1,NA,0.5,2.589536836504248e-13,0.3630923201210008,133.68334489202326,11.8531634201602,15.417798490726634,0.9989085808388964,0.9611548977297848,0.996591592657754,0.9968786372485194,0.9439797049326533
United Kingdom,LM,3.697934150695801,FALSE,455,0.005449260788368387,0.9723258965471948,1.3382211600248537e-5,0.005581272511431436,0.24771237420299375,0.7541436202317182,1.5893989819088619,NA,1,NA,0.5,0.010721850011687866,0.39854870784450674,13.834588213367379,8.172175952078856,59.072728563540444,0.9990041404010181,0.9888267970046769,0.9857144054096634,0.9264740982395161,0.9785348679792019
United States,LM,2.8178210258483887,TRUE,6,7.655689551596781e-4,0.9980041800604619,9.112373901469568e-9,0.00920340619852236,0.2595353105995186,0.8197156419418914,0.9868127765861592,NA,0,NA,1,4.698399290128969e-6,0.2564360479025075,13.697753776905689,15.374302797459617,37.281864179120824,0.998452532992369,0.9713703294023335,0.9848831544852121,0.9574791312564712,0.9788832783112784
Western Africa,LM,5.068104982376099,FALSE,565,0.01165422617772542,0.9952083548226395,3.6831095292034953e-20,0.022249187800012813,1,2.0727265396219797e-4,0.6485086884467374,NA,1,NA,0.5,1.0084725133043879e-17,0.13609872573916504,8812.992128466638,0.6546029369014515,4.205509890131089,0.9970859992141947,0.8701418603782538,0.9993625974928237,0.9997473588363468,0.87744846816123
