r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,n_sig_struct,valid,dAICc,wAICc,best_tier
Central America,L-BFGS-B,0.00200495289203064,0.9986309400218696,0.9979920453654088,62,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.939255403150706,0.9253366366112006,2.9478022247470963e-5,0.9955431150303524,0.12456218695692768,0.02737070250530729,0.8744124936517828,9.088711307104382e-29,1.428207766507628,3.738202727469746e-9,2.8100000000000005,-0.56,0.2624671916010498,2.272727272727273,-200.9954653825326,-193.04700587102857,-193.52879871586595,-196.9954653825326,-186.77601743917023,-183.1493115363788,289.74013805389404,FALSE,FALSE,3,TRUE,19.031255189939827,3.7822728185529065e-5,strict_valid
Chile,L-BFGS-B,0.01460419561911317,0.9885438273916968,0.983197613507822,42,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.920685485634152,0.8893870966049446,3.41143552888121e-5,0.9923498482120188,0.21229355307977368,0.19290129490164956,0.6385338729871075,0.05479167640604056,1.2934628455122648,7.371637346551469e-12,0.2799999999999999,3.5,0.7812500000000001,0.2222222222222222,-155.3246346350851,-147.37617512358105,-147.85796796841842,-151.3246346350851,-141.10518669172274,-137.47848078893125,366.06728887557983,FALSE,FALSE,2,TRUE,30.05543009675344,1.9008740231518274e-7,strict_valid
India,L-BFGS-B,0.01143812015489723,0.9970987208953476,0.99574479064651,61,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8583476735123925,0.962776217856684,9.33359515159744e-5,0.9929696186963696,0.1525382504582141,0.10008289439670694,0.7492625450775764,2.7170000960685236e-19,2.219457596426473,3.468375769427042e-5,0,-0.68,1,3.1250000000000004,-160.94485042548632,-152.99639091398228,-153.47818375881965,-156.94485042548632,-146.72540248212397,-143.09869657933248,228.0450859069824,FALSE,FALSE,2,TRUE,9.074326112444908,0.0076540649479846035,strict_valid
South-eastern Asia,L-BFGS-B,0.00805383613773958,0.9966504499805268,0.9950873266381056,41,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9535706502006904,0.9342335483884946,1.858813236847312e-5,0.997525989610718,0.6099054069115339,0.12378814641492113,0.8361603727845163,5.219670230518373e-13,1.3781013017573454,0.01733590133950165,-0.78,1.61,4.545454545454546,0.3831417624521072,-169.01332249721435,-161.0648629857103,-161.54665583054768,-165.01332249721435,-154.793874553852,-151.1671686510605,264.57496213912964,FALSE,FALSE,2,TRUE,41.49003465978339,6.607661098230449e-10,strict_valid
United Kingdom,L-BFGS-B,0.00503489976118297,0.9750195344390192,0.963361983843895,37,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9202847219328544,0.934737567899542,2.08810764892636e-5,0.9972409767567372,0.22560277135727155,0.2273326664372066,0.6883591830089824,0.03257244435191338,1.557401777037792,0.02677698381340539,1.7100000000000002,8.5,0.3690036900369004,0.10526315789473684,-179.81768517890072,-171.86922566739668,-172.35101851223405,-175.81768517890072,-165.59823723553836,-161.97153133274688,257.65420508384705,FALSE,FALSE,2,TRUE,4.4421393576852495,0.07002696155484237,strict_valid
Argentina,L-BFGS-B,0.00908666680408719,0.9877761492344348,0.9820716855438378,27,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9674666609792524,0.8726338587614008,2.454703226397647e-5,0.993653141577826,0.3880750338144719,0.02175650883712895,0.47758275100392333,0.08615189031101454,1.2697132038541157,1.6145870408126748e-4,-0.8400000000000001,5.5,6.2500000000000036,0.15384615384615383,-166.238150870317,-158.28969135881297,-158.77148420365032,-162.238150870317,-152.01870292695463,-148.39199702416315,167.59535789489746,FALSE,FALSE,3,FALSE,6.873746751761104,0.01588047546694459,relaxed_fallback
Australia and New Zealand,Newton,0.03622075877100404,0.9506881463948608,0.927675948045796,2,TRUE,NA,0.937159650993816,0.9849234574156464,-2.5389041950145635e-6,0.9999225985405916,0.4943724202866427,0.5031971426177098,0.5559525028111534,0.8756436714223881,0.9525923609991824,0.4990624021282643,-0.9,40,10.000000000000002,0.02439024390243902,-134.433193155663,-126.48473364415896,-126.96652648899632,-130.433193155663,-120.21374521230064,-116.58703930950917,314.7763760089874,FALSE,TRUE,0,FALSE,94.00615976549794,3.507961184538128e-21,relaxed_fallback
Brazil,Newton,0.04443017361170212,0.9217270034253428,0.8851996050238362,3,TRUE,NA,0.9448533087635064,0.9730999619538874,6.232287885359185e-5,0.9966105069990476,0.5435272645757652,0.2519694831964423,0.5024463920871306,0.21767931389871265,0.905906734737814,0.15876112144479007,-0.9,-0.8,10.000000000000002,5.000000000000001,-129.73460542007072,-121.78614590856668,-122.26793875340404,-125.73460542007072,-115.51515747670835,-111.88845157391688,182.1929349899292,FALSE,TRUE,0,FALSE,69.78029785201036,5.356635893023186e-16,relaxed_fallback
Canada,Newton,0.03932388498775081,0.881759866272215,0.82658113719924875,2,TRUE,NA,1.054389538999061,0.9555991221855183,-6.76670874909416e-5,0.9939205947137584,0.564273024250165,0.422575485312192,0.5888681595931355,0.4729542554395592,0.938297544552074,0.2764350794729074,-0.9,40,10.000000000000002,0.02439024390243902,-132.54260020333786,-124.5941406918338,-125.0759335366712,-128.54260020333786,-118.3231522599755,-114.69644635718402,422.4288141727447,FALSE,TRUE,0,FALSE,70.38590225613333,4.425547633753572e-16,relaxed_fallback
Caribbean Extended,Newton,0.05204291086682278,0.9484913634799376,0.924453999770575,2,TRUE,NA,1.014778793164867,0.9601752743567806,-4.547548057613311e-5,0.9963386936450788,0.5897474322683018,0.4403973861202624,0.5496258721968674,0.38471017744331176,1.094646563435454,0.17996593860349008,-0.9,7,10.000000000000002,0.125,-126.09716087595524,-118.1487013644512,-118.63049420928856,-122.09716087595524,-111.87771293259289,-108.2510070298014,359.5880949497223,FALSE,FALSE,0,FALSE,63.8142026829633,7.074866961758249e-15,relaxed_fallback
Central Asia Extended,L-BFGS-B,0.01418313156376143,0.9961490903428636,0.9943519991695332,26,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9935590910670704,0.9656858696928726,6.972920011777566e-6,0.9995159342703716,0.5520958147806734,0.06666650983136085,0.5283290531733896,0.39735381068784936,1.0469645336480446,0.0659648535975748,0.02000000000000001,28,0.9803921568627452,0.03448275862068965,-155.99751155310798,-148.04905204160394,-148.53084488644132,-151.99751155310798,-141.77806360974563,-138.15135770695414,177.28302311897278,FALSE,FALSE,2,FALSE,32.46062096744865,6.568201305252495e-8,relaxed_fallback
China,Newton,1.3555310030382637,0.8049579140946178,0.7139382740054394,2,TRUE,NA,1.0496283234424555,0.991099174384014,-2.0610323058874072e-4,0.9962905856662888,0.48744605101475985,0.9999461339601532,0.46746076408791254,0.9992600178532094,0.9361778414545582,0.20382337951968363,-0.9,40,10.000000000000002,0.02439024390243902,-51.119921946667816,-43.17146243516377,-43.65325528000115,-47.119921946667816,-36.90047400330547,-33.27376810051397,330.77708411216736,FALSE,TRUE,0,FALSE,105.87498937924025,1.0216624759559685e-23,relaxed_fallback
EU27,L-BFGS-B,0.00728081661669435,0.9977244160349222,0.9966624768512192,33,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9410180727419468,0.9813727434274804,3.108636493333855e-5,0.9988290014266812,0.25451728458350764,0.14169988513938728,0.5359795399962074,0.2928516550385653,1.528062078536708,0.06617096465864056,-0.9,5,10.000000000000002,0.16666666666666666,-171.33414872652654,-163.3856892150225,-163.86748205985987,-167.33414872652654,-157.11470078316418,-153.4879948803727,175.27538418769836,FALSE,FALSE,1,FALSE,12.854374455873852,0.00135292701666548,relaxed_fallback
Eastern Africa,Newton,0.03581690911283692,0.8058355593453519,0.7152254870398495,2,TRUE,NA,0.9268838949124532,0.9220340895030684,9.65485368631758e-6,0.9984756904509602,0.4278237443817132,0.7393104238234789,0.4260593778391097,0.8784471047538671,0.9273195360042528,0.3296286187927528,19,40,0.05,0.02439024390243902,-134.691076002792,-126.74261649128796,-127.22440933612532,-130.691076002792,-120.47162805942963,-116.84492215663816,409.906996011734,FALSE,TRUE,0,FALSE,72.18639310441297,1.3635407558161723e-16,relaxed_fallback
Japan,Newton,0.06046834765066164,-0.3695272497350053,-1.008639966278008,2,TRUE,NA,0.976889786749901,0.8960851634448034,-1.0320100742995209e-5,0.9978301360932508,0.5517973682915297,0.7710997133731532,0.4152499367836609,0.9149024829041316,1.074855539116696,0.5785172292262708,40,40,0.02439024390243902,0.02439024390243902,-122.64597726049448,-114.69751774899044,-115.1793105938278,-118.64597726049448,-108.42652931713212,-104.79982341434064,380.7432658672333,FALSE,TRUE,0,FALSE,99.51442246467946,1.4718758097525526e-22,relaxed_fallback
Levant,L-BFGS-B,0.00958962046007448,0.9949314294616092,0.9925660965436932,30,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9459471769605524,0.9320690081813722,5.867937455506364e-6,0.9991931454313516,0.2310490882079795,0.04801311442827006,0.5127319567979651,0.00190481038213393,1.467837032884389,1.684324979686252e-8,0.61,13.5,0.6211180124223603,0.06896551724137931,-164.99906821897474,-157.0506087074707,-157.53240155230807,-160.99906821897474,-150.7796202756124,-147.1529143728209,251.33600997924805,FALSE,FALSE,3,FALSE,27.450647253969322,7.460508052901967e-7,relaxed_fallback
Mexico,Newton,0.02107081992822801,0.9199769223284132,0.882632819415006,2,TRUE,NA,1.0976942044936604,0.9670197553425884,-3.668818555943861e-5,0.9975523641970266,0.4253004752649403,0.7147999234946579,0.5184928428396561,0.4983342323753011,1.0008624449448171,0.10097397441673554,40,36,0.02439024390243902,0.02702702702702703,-146.89328812741704,-138.944828615913,-139.42662146075037,-142.89328812741704,-132.67384018405468,-129.0471342812632,375.9564700126648,FALSE,FALSE,0,FALSE,36.66601372334199,1.0902334810151445e-8,relaxed_fallback
Middle Africa,L-BFGS-B,0.04398201706450162,0.9787640924199654,0.9688540022159492,34,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9922711802692996,0.9696153716398148,4.9696763433087174e-5,0.9969461324803216,0.506383729243628,0.7131408601059837,0.32730784638843796,0.08839866050527576,1.0639579145923903,0.03483658205883704,11,-0.8,0.08333333333333333,5.000000000000001,-129.96777889513123,-122.0193193836272,-122.50111222846456,-125.96777889513125,-115.74833095176888,-112.1216250489774,189.23808598518372,FALSE,TRUE,2,FALSE,9.685289085299075,0.00755895513923564,relaxed_fallback
Non-EU Europe,Newton,0.03189091697260924,0.9228010279227364,0.8867748409533468,2,TRUE,NA,1.0471928634246426,0.926882164882647,-3.7992183124572355e-5,0.9943752026045646,0.4802948959144032,0.999999946218072,0.5254143927590497,0.02007681199571171,1.0594722631445876,2.5506732161391506e-8,40,1.11,0.02439024390243902,0.4739336492890995,-137.36134998151772,-129.41289047001368,-129.89468331485105,-133.36134998151772,-123.14190203815537,-119.51519613536388,167.74761199951172,FALSE,FALSE,2,FALSE,46.80176490962836,3.474850949828365e-11,relaxed_fallback
Northern Africa,L-BFGS-B,0.03261027746714746,0.9708802600990792,0.957291048145316,16,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1.0010747994910525,0.9281599744844964,-3.732807103738799e-5,0.9945775808129378,0.4994556783188985,0.26844592784116106,0.5005376797094127,0.5885602364003881,0.9903098417846948,0.00314474365543594,-0.9,10,10.000000000000002,0.09090909090909093,-136.84830591936387,-128.89984640785983,-129.3816392526972,-132.84830591936387,-122.62885797600153,-119.00215207321004,291.28147315979004,FALSE,FALSE,1,FALSE,48.22425529431136,3.196616832457085e-11,relaxed_fallback
Peninsular West Asia,Newton,0.04680378326409095,0.9665109828679168,0.9508827748729444,3,TRUE,NA,0.954903377725402,0.9771117498143972,-1.1232523593637452e-5,0.9994806173734064,0.4171276218488234,0.5616320202897727,0.5937433214053693,0.08620161855760577,0.964643735094676,0.08909758129253163,9,-0.8,0.1,5.000000000000001,-128.53756549440956,-120.58910598290552,-121.0708988277429,-124.53756549440956,-114.3181175510472,-110.69141164825572,347.6635081768036,FALSE,TRUE,2,FALSE,39.44957253089092,1.262060119195788e-9,relaxed_fallback
Republic of Korea,Newton,0.11221772760428844,0.9097526143951384,0.8676371677795364,2,TRUE,NA,0.9808413741112088,0.9774684660230978,-3.7845116740260885e-5,0.9982757979257572,0.43329662642342015,0.8439701240584886,0.5795053210590637,0.93865211087578,0.9275277104273808,0.1437102848779797,40,40,0.02439024390243902,0.02439024390243902,-108.42459582809867,-100.47613631659463,-100.95792916143202,-104.42459582809867,-94.20514788473632,-90.57844198194483,331.56436586380005,FALSE,TRUE,0,FALSE,100.4759464810759,1.5188908310655704e-22,relaxed_fallback
Russia,L-BFGS-B,0.01215829742927787,0.9863418230669744,0.9799680071648956,17,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9992721372810508,0.819065660462049,6.460096068784501e-6,0.9976158605982716,0.5003634683333589,0.8619131504322091,0.5003487775109845,3.292680051293222e-12,1.006537742940907,7.150314666134242e-9,40,0.81,0.02439024390243902,0.5524861878453039,-159.5404657709633,-151.59200625945925,-152.07379910429665,-155.5404657709633,-145.32101782760094,-141.69431192480943,347.21064496040344,FALSE,FALSE,2,FALSE,39.78723489284036,2.0357144095890424e-9,relaxed_fallback
South Africa,L-BFGS-B,0.01256612625004511,0.977705511727413,0.9673014172002058,41,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9599499433140688,0.8964151706964796,1.389103995839193e-5,0.9970822065735048,0.27329666490011817,5.401090068239962e-5,0.5312257862296775,0.7426077711906871,1.2588686352153893,3.963548867168137e-8,-0.76,38,4.166666666666667,0.02564102564102564,-158.78162796258235,-150.8331684510783,-151.31496129591568,-154.78162796258235,-144.56218001922,-140.9354741164285,476.50892210006714,FALSE,FALSE,2,FALSE,43.26642856829929,3.433678297463701e-10,relaxed_fallback
South America Cluster,Newton,0.08256327253471256,0.9492513709347076,0.9255686773709046,2,TRUE,NA,1.0789341912571335,0.9784769858402472,-9.371912799453248e-5,0.9959190195637052,0.49188433642074014,0.32692066526901964,0.5491182895473555,0.7952231786100966,0.9293110435546216,0.2826239745933185,0.4800000000000001,40,0.6756756756756757,0.02439024390243902,-115.48274478119222,-107.53428526968818,-108.01607811452556,-111.48274478119222,-101.26329683782988,-97.63659093503838,297.5271689891815,FALSE,TRUE,0,FALSE,81.29811380156343,1.9360433931283458e-18,relaxed_fallback
Southern Africa Cluster,Newton,0.07208928610312504,0.9324087887500088,0.9008662235000128,2,TRUE,NA,1.084064148677904,0.9544042914714506,-8.537645134139518e-5,0.9921331757070324,0.5993868836697327,0.5492843589225037,0.4807721659713703,0.29013711136252746,0.912155376071787,0.06591428954820243,11,-0.8,0.08333333333333333,5.000000000000001,-118.60291336619169,-110.65445385468765,-111.136246699525,-114.60291336619169,-104.38346542282932,-100.75675952003785,225.42097187042236,FALSE,TRUE,1,FALSE,31.27508088303047,1.3814384878060627e-7,relaxed_fallback
Southern Asia Cluster,Newton,0.03544123010032714,0.98553674703029,0.9787872289777588,2,TRUE,NA,1.0582112524907026,0.983929360908406,-5.2017144885884527e-5,0.9983095773509798,0.4261190294803394,0.2457946218723178,0.4188191699603682,0.8666763910445476,0.975921877071177,0.3782547236746645,1.51,40,0.39840637450199207,0.02439024390243902,-134.93359418919047,-126.98513467768645,-127.4669275225238,-130.93359418919047,-120.71414624582812,-117.08744034303665,239.05444598197937,FALSE,TRUE,0,FALSE,56.643955630669794,3.442889036754427e-13,relaxed_fallback
Switzerland,Newton,0.01272645060751659,0.9639820423891172,0.9471736621707052,3,TRUE,NA,0.9172319479584564,0.9665574257825668,6.810053012490488e-6,0.9995393601709872,0.4992397536389825,0.7720995006292534,0.4615136844669943,0.7673585503337508,1.003519196624003,0.2562837233712941,28,40,0.03448275862068965,0.02439024390243902,-158.49003967313928,-150.54158016163524,-151.0233730064726,-154.49003967313928,-144.27059172977692,-140.64388582698544,409.4536190032959,FALSE,TRUE,0,FALSE,39.20769134391571,3.0397589066284203e-9,relaxed_fallback
Tropical Pacific Islands,Newton,0.17267014555660426,0.8725948035333542,0.8131390451822528,3,TRUE,NA,0.9474224745912724,0.98974378104416,1.793246937811983e-6,0.9999628149648768,0.4440037910024517,0.5601895577033473,0.5729432394162915,0.3430650269251419,1.083416338091136,0.5142592729892157,-0.9,5.5,10.000000000000002,0.15384615384615383,-98.51292705076818,-90.56446753926414,-91.04626038410152,-94.51292705076818,-84.29347910740583,-80.66677320461434,356.9189600944519,FALSE,FALSE,0,FALSE,62.144450404991574,2.2485591744945087e-14,relaxed_fallback
United States,Newton,0.01642712860420714,0.9572602051590792,0.9373149675666496,2,TRUE,NA,0.9968196956115276,0.9172169254405076,-1.5332439247143854e-5,0.9974257694223996,0.593661824209974,0.3500039208861685,0.4370946058812567,0.819431330521758,0.9080645023090804,0.1843537822248108,0.18000000000000005,40,0.8474576271186439,0.02439024390243902,-152.61925290169256,-144.67079339018852,-145.1525862350259,-148.61925290169256,-138.3998049583302,-134.77309905553872,374.76097297668457,FALSE,TRUE,0,FALSE,70.15662800524231,5.034007380644939e-16,relaxed_fallback
Western Africa,Newton,0.04801815107885898,0.980400006765147,0.971253343255549,2,TRUE,NA,0.9088481399086624,0.996681085057241,4.7792532028986946e-5,0.9996792350435296,0.5863041146568072,0.90607879642516,0.5685168092100874,0.7855170593383507,0.985337292116636,0.8321296255177112,-0.16000000000000003,-0.8,1.1904761904761905,5.000000000000001,-127.9484193841588,-119.99995987265476,-120.48175271749211,-123.9484193841588,-113.72897144079644,-110.10226553800496,228.5083119869232,FALSE,TRUE,0,FALSE,33.827756744620416,3.5641087441245885e-8,relaxed_fallback
