t,r,P,Y,C,K,L,E
2011,Non-EU Europe,74.4,1.80467,0.45863,0.146,39.076146,5531
2011,Northern Africa,214.7,2.36616,0.54603,0.148,68.313555,4963
2011,Peninsular West Asia,180.7,4.17916,1.10955,0.382,57.667922,16236
2011,Republic of Korea,49.1,1.93247,0.84676,0.381,25.497708,5351
2011,Russia,144,4.92621,0.93891,0.297,76.202939,16964
2011,South Africa,53,0.76588,0.26502,0.058,21.097307,2290
2011,South America Cluster,140.1,1.50155,0.47358,0.134,67.910523,4396
2011,South-eastern Asia,636.7,6.32734,1.35922,0.549,319.254722,15359
2011,Southern Africa Cluster,7.4,0.07,0.01906,0.006,2.812998,197
2011,Southern Asia Cluster,436.2,1.93903,0.38191,0.081,145.450394,4532
2011,Switzerland,7.9,0.59185,0.41582,0.165,4.537669,788
2011,Tropical Pacific Islands,11,0.04274,0.00339,9.00E-04,3.595129,202
2011,United Kingdom,63.5,2.98448,2.24534,0.423,32.136046,5194
2011,United States,314.1,18.7869,13.8862,3.001,158.53715,59350
2011,Western Africa,329.6,1.43077,0.13056,0.038,136.341278,3368
2012,Argentina,42.2,1.21535,0.47758,0.094,19.006986,2443
2012,Australia and New Zealand,27.3,1.42066,1.07829,0.398,14.389132,3669
2012,Brazil,196.9,3.70761,1.47893,0.369,96.69022,6839
2012,Canada,34.9,1.87573,1.15658,0.378,19.332146,7201
2012,Caribbean Extended,42.1,0.3243,0.16068,0.028,16.077275,987
2012,Central America,44.6,0.49295,0.17356,0.045,18.546704,995
2012,Central Asia Extended,85,1.10136,0.20036,0.062,37.307518,5143
2012,Chile,17.5,0.46724,0.1649,0.063,8.539046,1016
2012,China,1400.7,17.0604,5.10047,0.077,783.148061,65187
2012,Eastern Africa,364.9,0.82244,0.22032,0.055,153.983788,4694
2012,EU27,442,20.2471,9.9688,2.594,211.9875,40714
2012,India,1278.7,6.98212,1.19611,0.544,476.101422,18534
2012,Japan,127.9,5.30897,3.27835,1.02,65.3776,11474
2012,Levant,122.6,2.33969,0.8487,0.273,42.120534,4671
2012,Mexico,116.8,2.44138,0.91859,0.274,50.764169,4826
2012,Middle Africa,145.1,0.59669,0.13384,0.06,54.534484,1714
2012,Non-EU Europe,74.2,1.82018,0.47455,0.152,38.962855,5415
2012,Northern Africa,218.7,2.44664,0.57709,0.157,69.019536,5098
2012,Peninsular West Asia,186,4.32339,1.15831,0.356,60.848818,17080
2012,Republic of Korea,49.6,1.9789,0.86604,0.381,25.940388,5379
2012,Russia,144.3,5.12445,0.99677,0.315,76.120943,16982
2012,South Africa,53.8,0.78424,0.27451,0.059,21.397775,2363
2012,South America Cluster,141.7,1.56926,0.50087,0.145,69.306829,4602
2012,South-eastern Asia,644.8,6.71501,1.44371,0.605,324.779627,15808
2012,Southern Africa Cluster,7.5,0.07199,0.02043,0.007,2.859808,203
2012,Southern Asia Cluster,443.1,2.04301,0.39624,0.087,148.269106,4583
2012,Switzerland,8,0.59883,0.42333,0.173,4.595555,817
2012,Tropical Pacific Islands,11.3,0.04419,0.00341,9.00E-04,3.699119,200
2012,United Kingdom,64,3.02952,2.28283,0.43,32.468228,5345
2012,United States,317.1,19.217,14.0012,3.23,159.682753,57605
2012,Western Africa,338.9,1.50303,0.13883,0.042,139.823693,3575
2013,Argentina,42.6,1.24459,0.4961,0.096,19.111596,2404
2013,Australia and New Zealand,27.7,1.45761,1.09736,0.411,14.574272,3715
2013,Brazil,198.5,3.81902,1.52355,0.39,97.94582,7050
2013,Canada,35.3,1.91936,1.17609,0.383,19.544962,7428
2013,Caribbean Extended,42.3,0.33478,0.16491,0.028,16.298942,995
2013,Central America,45.3,0.5119,0.18013,0.049,18.78605,1001
2013,Central Asia Extended,86.3,1.17447,0.21661,0.065,37.705033,5111
2013,Chile,17.7,0.4827,0.17303,0.064,8.667171,1091
2013,China,1410.3,18.3706,5.45757,0.079,783.455205,68646
2013,Eastern Africa,375.1,0.87381,0.23867,0.06,158.948846,4871
2013,EU27,442.4,20.2345,9.93887,2.544,212.386258,40588
2013,India,1295.8,7.42801,1.27071,0.553,484.539458,20796
2013,Japan,127.7,5.41542,3.35428,1.062,65.62115,11481
2013,Levant,123.9,2.45792,0.88845,0.304,42.902103,4573
2013,Mexico,118.3,2.46218,0.93988,0.263,51.511392,4834
2013,Middle Africa,150,0.61893,0.14651,0.059,56.151065,1886
2013,Non-EU Europe,74.1,1.83522,0.48791,0.157,38.837707,5354
2013,Northern Africa,223.2,2.4817,0.60039,0.158,70.044042,5433
2013,Peninsular West Asia,191.5,4.43973,1.21975,0.366,63.265837,17705
2013,Republic of Korea,50.1,2.04153,0.88695,0.392,26.335094,5392
2013,Russia,144.6,5.2144,1.03449,0.321,75.891798,15912
2013,South Africa,54.7,0.80373,0.27979,0.062,21.921173,2503
2013,South America Cluster,143.3,1.65979,0.52912,0.158,69.892424,4850
2013,South-eastern Asia,652.9,7.05579,1.51443,0.637,327.315465,15559
2013,Southern Africa Cluster,7.6,0.07737,0.02502,0.008,2.961709,195
2013,Southern Asia Cluster,449.3,2.14351,0.41178,0.09,150.558543,4635
2013,Switzerland,8.1,0.60957,0.43255,0.175,4.653184,836
2013,Tropical Pacific Islands,11.5,0.04585,0.00363,9.00E-04,3.804218,213
2013,United Kingdom,64.4,3.08405,2.32783,0.444,32.674256,5373
2013,United States,320.1,19.624,14.1495,3.397,160.132463,60202
2013,Western Africa,348.2,1.60361,0.15135,0.041,143.172542,3742
2014,Argentina,43,1.21331,0.47967,0.089,19.177885,2383
2014,Australia and New Zealand,28.1,1.49781,1.12203,0.407,14.795161,3732
2014,Brazil,200.1,3.83827,1.5527,0.374,98.901551,7344
2014,Canada,35.6,1.97451,1.19997,0.392,19.594831,7554
2014,Caribbean Extended,42.6,0.35001,0.17384,0.03,16.52846,959
2014,Central America,46,0.53185,0.18696,0.051,19.345536,1030
2014,Central Asia Extended,87.7,1.23238,0.22642,0.068,38.184574,4786
2014,Chile,17.9,0.49136,0.17766,0.062,8.828997,1019
2014,China,1419.4,19.7111,5.87151,0.082,784.612122,71664
2014,Eastern Africa,385.2,0.92842,0.24963,0.068,161.399686,5046
2014,EU27,443,20.5804,10.0489,2.601,212.782815,38682
2014,India,1312.3,7.97844,1.35423,0.567,492.791763,22362
2014,Japan,127.5,5.43147,3.33982,1.085,65.843453,11173
2014,Levant,125.8,2.55236,0.91645,0.314,43.310265,4687
2014,Mexico,119.8,2.52383,0.95894,0.269,51.907743,4768
2014,Middle Africa,155,0.65105,0.15308,0.062,57.801215,1986
2014,Non-EU Europe,73.9,1.76804,0.48532,0.151,38.842438,4991
2014,Northern Africa,227.9,2.53613,0.62552,0.165,70.889347,5126
2014,Peninsular West Asia,196.7,4.61294,1.28515,0.388,65.392683,17704
2014,Republic of Korea,50.5,2.10691,0.90925,0.404,27.115956,5264
2014,Russia,144.9,5.25279,1.04367,0.314,75.752321,16558
2014,South Africa,55.6,0.81509,0.28259,0.062,22.295709,2472
2014,South America Cluster,144.8,1.72451,0.55267,0.164,70.676181,4909
2014,South-eastern Asia,660.5,7.38757,1.57968,0.662,332.50563,15118
2014,Southern Africa Cluster,7.7,0.0812,0.02557,0.008,2.985883,200
2014,Southern Asia Cluster,455.4,2.253,0.43378,0.098,152.216065,4767
2014,Switzerland,8.2,0.62389,0.43768,0.18,4.739164,766
2014,Tropical Pacific Islands,11.8,0.05056,0.00373,9.00E-04,3.901445,221
2014,United Kingdom,64.9,3.18257,2.39011,0.475,32.976365,5068
2014,United States,323.1,20.1192,14.4556,3.573,160.876331,60656
2014,Western Africa,357.8,1.69717,0.15509,0.045,146.600817,3811
2015,Argentina,43.5,1.24645,0.49961,0.093,19.343227,2469
2015,Australia and New Zealand,28.6,1.53361,1.15203,0.395,15.094857,3717
2015,Brazil,201.7,3.70217,1.5092,0.321,100.587656,7283
2015,Canada,36,1.98734,1.22477,0.371,19.705946,7429
2015,Caribbean Extended,42.8,0.36306,0.18708,0.04,16.968584,991
2015,Central America,46.7,0.55362,0.19434,0.054,19.688511,1087
2015,Central Asia Extended,89.1,1.26838,0.27114,0.106,38.695881,4834
2015,Chile,18,0.50193,0.18273,0.062,8.968101,1044
2015,China,1427.7,21.0374,6.37919,4.775,785.373464,72600
2015,Eastern Africa,395.3,0.98411,0.27998,0.084,165.040562,5219
2015,EU27,443.9,21.0803,10.2549,2.733,213.313174,39548
2015,India,1328,8.61642,1.46064,0.604,500.763345,24881
2015,Japan,127.3,5.51623,3.35097,1.11,65.931158,10941
2015,Levant,128,2.67449,0.98901,0.345,44.546708,4968
2015,Mexico,121.1,2.59203,0.98338,0.281,52.800736,4853
2015,Middle Africa,160,0.66528,0.15717,0.059,59.474257,2001
2015,Non-EU Europe,73.6,1.7022,0.48041,0.144,38.732406,4498
2015,Northern Africa,232.7,2.62688,0.64282,0.178,71.107649,5440
2015,Peninsular West Asia,201.8,4.74895,1.356,0.42,67.757522,17863
2015,Republic of Korea,51,2.16609,0.93275,0.425,27.531028,5464
2015,Russia,145.3,5.14917,0.96051,0.281,75.464271,16393
2015,South Africa,56.7,0.82587,0.28661,0.062,23.461405,2413
2015,South America Cluster,146.4,1.76858,0.57268,0.16,71.826179,4662
2015,South-eastern Asia,668,7.75031,1.66349,0.7,336.388316,15749
2015,Southern Africa Cluster,7.8,0.08099,0.02724,0.008,3.021463,204
2015,Southern Asia Cluster,461.2,2.36389,0.51312,0.132,156.227409,5031
2015,Switzerland,8.3,0.63415,0.44705,0.183,4.810573,778
2015,Tropical Pacific Islands,12.1,0.05349,0.02058,0.006,4.007347,228
2015,United Kingdom,65.4,3.25332,2.44897,0.509,33.259719,5167
2015,United States,326.1,20.7119,14.9014,3.778,161.927418,60768
2015,Western Africa,367.5,1.75094,0.1615,0.047,150.338012,3792
2016,Argentina,43.9,1.22052,0.49592,0.087,19.497873,2444
2016,Australia and New Zealand,29,1.57804,1.19196,0.384,15.379601,3718
2016,Brazil,203.2,3.58089,1.46572,0.282,101.885554,8960
2016,Canada,36.4,2.00798,1.24948,0.354,19.857477,7440
2016,Caribbean Extended,43,0.3736,0.18881,0.036,17.168793,1012
2016,Central America,47.4,0.57351,0.20205,0.055,20.018102,1110
2016,Central Asia Extended,90.6,1.29309,0.24218,0.074,39.142359,4893
2016,Chile,18.3,0.51073,0.19018,0.06,9.121865,1091
2016,China,1435.7,22.4358,6.88629,0.079,785.251051,73208
2016,Eastern Africa,405.8,1.0393,0.26483,0.081,168.819488,5361
2016,EU27,444.9,21.5031,10.4674,2.815,214.118446,40291
2016,India,1343.9,9.32782,1.57486,0.656,508.796784,25327
2016,Japan,127.2,5.55781,3.35447,1.123,66.529155,10798
2016,Levant,130,2.75576,0.99729,0.35,45.759334,5118
2016,Mexico,122.3,2.63797,1.00226,0.283,53.498509,4934
2016,Middle Africa,165.5,0.65724,0.15893,0.052,61.332668,1996
2016,Non-EU Europe,73.4,1.73003,0.48547,0.15,38.699742,4625
2016,Northern Africa,237.4,2.7165,0.65968,0.187,71.785822,5745
2016,Peninsular West Asia,206.6,5.00972,1.28192,0.357,70.879926,17739
2016,Republic of Korea,51.3,2.22992,0.96099,0.453,27.791833,5550
2016,Russia,145.8,5.15914,0.94579,0.285,75.536474,16839
2016,South Africa,57.3,0.83135,0.28945,0.061,23.788578,2339
2016,South America Cluster,148,1.81044,0.58029,0.153,72.88852,4680
2016,South-eastern Asia,675.2,8.14043,1.74135,0.74,339.457949,16113
2016,Southern Africa Cluster,8,0.08426,0.02888,0.008,3.059105,208
2016,Southern Asia Cluster,466.7,2.50907,0.5438,0.145,158.031037,5381
2016,Switzerland,8.4,0.64727,0.45329,0.188,4.894095,792
2016,Tropical Pacific Islands,12.3,0.05607,0.00404,0.001,4.11412,228
2016,United Kingdom,65.9,3.31584,2.52213,0.535,33.579398,5217
2016,United States,329.2,21.0887,15.249,3.792,163.886456,61104
2016,Western Africa,377.3,1.76492,0.1683,0.054,154.805453,3889
2017,Argentina,44.3,1.25492,0.51535,0.099,19.643677,2454
2017,Australia and New Zealand,29.5,1.61638,1.23084,0.387,15.755515,3752
2017,Brazil,204.7,3.62826,1.48536,0.275,103.476109,9167
2017,Canada,36.8,2.0689,1.29026,0.366,20.155417,7711
2017,Caribbean Extended,43.2,0.38134,0.19411,0.036,17.354255,1002
2017,Central America,48.1,0.59658,0.20897,0.058,20.533292,1206
2017,Central Asia Extended,92.1,1.34495,0.2499,0.081,39.477636,5209
2017,Chile,18.6,0.51766,0.19733,0.058,9.423968,1105
2017,China,1444.1,23.9698,7.35431,0.081,783.512231,74663
2017,Eastern Africa,416.3,1.09806,0.27787,0.088,171.909068,5486
2017,EU27,445.7,22.139,10.6709,2.928,215.216761,40733
2017,India,1359.7,9.96168,1.68639,0.707,516.812065,26138
2017,Japan,127.1,5.65092,3.3812,1.141,67.070828,10904
2017,Levant,131.8,2.93035,1.04042,0.376,47.072391,5613
2017,Mexico,123.4,2.68735,1.01757,0.281,54.114274,4992
2017,Middle Africa,171.1,0.66012,0.15969,0.052,63.290971,2019
2017,Non-EU Europe,73.2,1.77377,0.50182,0.158,38.508233,4644
2017,Northern Africa,242.4,2.82899,0.67414,0.198,71.606105,5793
2017,Peninsular West Asia,210.4,5.04845,1.32326,0.359,72.233366,18178
2017,Republic of Korea,51.5,2.30038,0.99034,0.498,28.106594,5693
2017,Russia,146.2,5.25334,0.97795,0.298,74.982425,17500
2017,South Africa,57.6,0.84098,0.29307,0.06,24.30076,2364
2017,South America Cluster,149.5,1.85753,0.59941,0.158,74.200843,4595
2017,South-eastern Asia,682.3,8.58193,1.81255,0.782,342.049711,16959
2017,Southern Africa Cluster,8.1,0.08547,0.02833,0.007,3.086857,211
2017,Southern Asia Cluster,472.5,2.64888,0.57428,0.159,162.803921,5605
2017,Switzerland,8.5,0.65609,0.45835,0.195,4.927955,785
2017,Tropical Pacific Islands,12.5,0.05818,0.00409,0.001,4.228558,233
2017,United Kingdom,66.4,3.40392,2.56146,0.554,33.734171,5199
2017,United States,332.2,21.607,15.5795,3.952,165.597316,60918
2017,Western Africa,387.3,1.8184,0.17637,0.053,158.502279,3627
2018,Argentina,44.7,1.22208,0.50406,0.093,20.125838,2360
2018,Australia and New Zealand,30,1.66422,1.26986,0.406,16.114718,3798
2018,Brazil,206.1,3.69298,1.51492,0.29,104.554923,9011
2018,Canada,37.3,2.12565,1.32605,0.374,20.39134,7960
2018,Caribbean Extended,43.4,0.3983,0.1999,0.039,17.614984,1036
2018,Central America,48.7,0.61307,0.21482,0.059,21.188089,1217
2018,Central Asia Extended,93.5,1.40495,0.26007,0.091,39.909687,5131
2018,Chile,18.9,0.53832,0.20453,0.062,9.671888,1148
2018,China,1450.8,25.57,7.92828,0.081,781.263195,77057
2018,Eastern Africa,427.4,1.15851,0.28546,0.091,176.733311,5574
2018,EU27,446.5,22.6408,10.8479,3.036,216.09275,40874
2018,India,1374.7,10.6046,1.80492,0.786,524.342818,26760
2018,Japan,126.9,5.68728,3.39592,1.148,68.187091,10699
2018,Levant,133.8,3.01438,1.059,0.384,48.084649,5542
2018,Mexico,124.6,2.74034,1.03474,0.283,55.14283,4762
2018,Middle Africa,176.7,0.66722,0.16037,0.057,65.14851,2076
2018,Non-EU Europe,72.8,1.82477,0.51697,0.166,38.351287,4779
2018,Northern Africa,247.4,2.93237,0.68513,0.202,71.873887,6170
2018,Peninsular West Asia,213.4,5.11954,1.35133,0.348,73.084949,18048
2018,Republic of Korea,51.6,2.36726,1.02705,0.487,28.257879,5742
2018,Russia,146.4,5.40081,1.01183,0.3,74.87312,18929
2018,South Africa,58.6,0.85407,0.30095,0.059,24.580984,2533
2018,South America Cluster,150.8,1.9087,0.62077,0.16,74.80533,4603
2018,South-eastern Asia,688.9,9.03636,1.91262,0.826,348.881167,17679
2018,Southern Africa Cluster,8.2,0.08736,0.02876,0.007,3.117169,215
2018,Southern Asia Cluster,478.8,2.80759,0.61745,0.173,165.064499,5670
2018,Switzerland,8.5,0.67486,0.4615,0.196,4.963632,765
2018,Tropical Pacific Islands,12.8,0.05862,0.00427,0.001,4.346864,237
2018,United Kingdom,66.8,3.45175,2.60423,0.551,34.007609,5288
2018,United States,335.1,22.2479,15.9709,4.172,166.999339,63825
2018,Western Africa,397,1.87887,0.18503,0.058,162.83618,3755
2019,Argentina,45,1.19762,0.47297,0.078,20.5803,2338
2019,Australia and New Zealand,30.5,1.7007,1.30318,0.403,16.427547,3789
2019,Brazil,207.5,3.73806,1.54325,0.301,106.262669,9427
2019,Canada,37.8,2.16622,1.34529,0.377,20.799435,7879
2019,Caribbean Extended,43.6,0.40956,0.20295,0.04,17.884311,1072
2019,Central America,49.4,0.62963,0.22058,0.058,21.46795,1278
2019,Central Asia Extended,95,1.47559,0.27739,0.11,40.423159,5050
2019,Chile,19.2,0.54173,0.20597,0.065,9.843775,1152
2019,China,1455.4,27.0752,8.40577,0.069,780.317309,78003
2019,Eastern Africa,439.2,1.21878,0.30045,0.099,181.679119,5770
2019,EU27,447.4,23.0979,11.0287,3.24,216.853961,40642
2019,India,1389,11.0151,1.89481,0.795,531.383542,27009
2019,Japan,126.7,5.66441,3.39728,1.154,68.812048,10477
2019,Levant,135.8,3.04422,1.08441,0.345,48.950173,5577
2019,Mexico,125.8,2.72958,1.04013,0.27,56.614536,4755
2019,Middle Africa,182.2,0.6773,0.16226,0.059,67.005202,2087
2019,Non-EU Europe,72.5,1.87124,0.53021,0.181,38.272159,4657
2019,Northern Africa,252,3.01853,0.69883,0.207,72.41787,5750
2019,Peninsular West Asia,216.5,5.15743,1.34798,0.344,74.090712,19674
2019,Republic of Korea,51.8,2.42038,1.05978,0.476,28.561856,5644
2019,Russia,146.5,5.51953,1.04613,0.303,73.950194,18914
2019,South Africa,59.6,0.85629,0.30519,0.058,25.222297,2365
2019,South America Cluster,151.9,1.95059,0.64092,0.161,75.042695,4394
2019,South-eastern Asia,695.2,9.4597,2.01148,0.855,353.133246,18679
2019,Southern Africa Cluster,8.4,0.08896,0.0295,0.008,3.163213,224
2019,Southern Asia Cluster,485.6,2.93271,0.64887,0.17,169.27043,5541
2019,Switzerland,8.6,0.68256,0.46679,0.198,4.978225,767
2019,Tropical Pacific Islands,13,0.06052,0.00441,0.001,4.458765,240
2019,United Kingdom,67.1,3.50783,2.64896,0.563,34.191597,5248
2019,United States,337.8,22.8228,16.3615,4.308,168.920514,63312
2019,Western Africa,406.7,1.94685,0.19819,0.06,167.27026,3905
2020,Argentina,45.2,1.07905,0.42285,0.068,19.317784,2188
2020,Australia and New Zealand,30.8,1.69822,1.30236,0.395,16.479278,3647
2020,Brazil,208.7,3.61557,1.47598,0.296,100.001874,9559
2020,Canada,38.2,2.05708,1.28832,0.363,20.505333,7186
2020,Caribbean Extended,43.8,0.37378,0.17792,0.033,17.23508,954
2020,Central America,50,0.58373,0.21678,0.044,20.918416,1205
2020,Central Asia Extended,96.6,1.45036,0.27541,0.106,40.515057,5420
2020,Chile,19.4,0.50845,0.1923,0.058,8.906788,1090
2020,China,1457.9,27.6143,8.36868,0.061,768.146445,79465
2020,Eastern Africa,451.2,1.2263,0.30542,0.097,185.337073,5866
2020,EU27,447.8,21.8038,10.4962,3.079,214.306159,38352
2020,India,1402.6,10.3787,1.80769,0.738,532.528354,25312
2020,Japan,126.3,5.42827,3.30848,1.112,68.656452,9947
2020,Levant,137.6,3.05475,1.07868,0.356,47.125216,5551
2020,Mexico,126.8,2.50155,0.95109,0.224,52.956486,4130
2020,Middle Africa,187.9,0.65979,0.15281,0.058,67.307098,2129
2020,Non-EU Europe,72,1.81983,0.51736,0.169,37.454297,4449
2020,Northern Africa,256.3,2.97035,0.71531,0.182,71.57799,5480
2020,Peninsular West Asia,219.6,4.98775,1.31878,0.315,73.164266,19208
2020,Republic of Korea,51.9,2.40321,1.03597,0.493,28.369827,5495
2020,Russia,146.4,5.37306,1.00499,0.29,73.449927,18017
2020,South Africa,60.6,0.80347,0.29136,0.05,24.183888,2174
2020,South America Cluster,153,1.7953,0.603,0.131,71.8349,3704
2020,South-eastern Asia,701.1,9.11304,1.9606,0.783,350.008374,17702
2020,Southern Africa Cluster,8.5,0.08211,0.02907,0.007,3.168135,212
2020,Southern Asia Cluster,493.2,2.9309,0.64577,0.165,172.005455,5685
2020,Switzerland,8.6,0.66795,0.45707,0.195,4.988638,727
2020,Tropical Pacific Islands,13.3,0.05691,0.00428,0.001,4.532411,233
2020,United Kingdom,67.4,3.14663,2.3396,0.508,34.24389,4809
2020,United States,339.4,22.3291,16.1021,4.178,166.565059,58387
2020,Western Africa,416.3,1.93317,0.20115,0.062,171.282671,3889
2021,Argentina,45.3,1.19173,0.46119,0.091,20.993886,2299
2021,Australia and New Zealand,31.1,1.73976,1.34171,0.413,16.741343,3656
2021,Brazil,209.6,3.78777,1.52397,0.334,104.08543,10257
2021,Canada,38.5,2.17949,1.36195,0.395,21.005652,7352
2021,Caribbean Extended,44,0.40861,0.18606,0.038,17.688997,980
2021,Central America,50.6,0.64659,0.23075,0.054,21.657201,1339
2021,Central Asia Extended,98.1,1.53398,0.2936,0.11,40.76786,5942
2021,Chile,19.5,0.56598,0.22959,0.067,9.171143,1116
2021,China,1458.2,29.9773,9.1322,0.065,785.465579,83505
2021,Eastern Africa,463.3,1.29487,0.32342,0.103,191.757985,6033
2021,EU27,447.7,23.1942,10.9907,3.207,216.263893,40743
2021,India,1414.2,11.3844,1.98523,0.868,550.352877,26433
2021,Japan,125.7,5.57465,3.35723,1.117,68.671337,10017
2021,Levant,139.2,3.3648,1.20037,0.385,49.293784,5894
2021,Mexico,127.6,2.65286,1.01833,0.247,56.864048,3996
2021,Middle Africa,193.8,0.67606,0.15895,0.068,70.98145,2229
2021,Non-EU Europe,71.4,1.90102,0.54357,0.174,37.315829,4656
2021,Northern Africa,260.5,3.09729,0.74618,0.183,73.940063,5877
2021,Peninsular West Asia,223,5.21668,1.37955,0.321,73.447084,20324
2021,Republic of Korea,51.8,2.50666,1.07855,0.509,28.560792,5689
2021,Russia,145.8,5.68827,1.08627,0.317,73.846056,19474
2021,South Africa,61.5,0.84328,0.30541,0.049,25.16704,2224
2021,South America Cluster,154,1.98115,0.6686,0.159,75.062643,4114
2021,South-eastern Asia,706.2,9.40903,2.01681,0.826,349.439245,16942
2021,Southern Africa Cluster,8.7,0.08818,0.03052,0.007,3.276587,227
2021,Southern Asia Cluster,500.6,3.09013,0.69469,0.177,178.168785,6010
2021,Switzerland,8.7,0.70508,0.46796,0.201,4.987374,768
2021,Tropical Pacific Islands,13.5,0.05615,0.00442,0.001,4.669429,228
2021,United Kingdom,67.7,3.41648,2.55447,0.547,34.094107,5058
2021,United States,340.2,23.6812,17.2751,4.46,167.182196,61557
2021,Western Africa,426,2.01783,0.21293,0.067,176.813435,4211
2022,Argentina,45.4,1.25453,0.49942,0.101,21.566906,2293
2022,Australia and New Zealand,31.3,1.81174,1.40538,0.44,17.141208,3680
2022,Brazil,210.3,3.90204,1.58051,0.338,106.610573,10238
2022,Canada,38.8,2.27079,1.42745,0.39,21.454656,7641
2022,Caribbean Extended,44.2,0.42781,0.19203,0.039,18.008737,1003
2022,Central America,51.2,0.68204,0.2396,0.058,22.577104,1366
2022,Central Asia Extended,99.7,1.61349,0.31062,0.113,41.577923,6042
2022,Chile,19.6,0.57817,0.23527,0.07,9.670728,1211
2022,China,1456.8,30.872,9.37427,0.06,774.294487,87513
2022,Eastern Africa,475.3,1.35895,0.33818,0.11,198.702002,6199
2022,EU27,449.1,24.0357,11.387,3.275,219.294174,39026
2022,India,1425.4,12.2506,2.1244,0.941,568.90096,28515
2022,Japan,125,5.62716,3.42035,1.111,68.92906,9886
2022,Levant,140.9,3.54195,1.35086,0.399,51.625716,5880
2022,Mexico,128.6,2.75131,1.06348,0.266,58.544385,4426
2022,Middle Africa,199.7,0.70875,0.16573,0.078,73.289987,2337
2022,Non-EU Europe,68.1,1.70286,0.54653,0.166,16.754904,3942
2022,Northern Africa,264.7,3.23453,0.76303,0.193,75.285202,6143
2022,Peninsular West Asia,228,5.63654,1.47749,0.367,76.627229,19977
2022,Republic of Korea,51.8,2.57215,1.12276,0.507,29.201402,5567
2022,Russia,145.6,5.60659,1.0824,0.327,73.531906,19309
2022,South Africa,62.4,0.8594,0.31163,0.052,26.170358,2185
2022,South America Cluster,155.2,2.09543,0.70879,0.17,76.345428,4427
2022,South-eastern Asia,711.2,9.94765,2.1371,0.866,361.056859,20022
2022,Southern Africa Cluster,8.8,0.09229,0.03183,0.007,3.378569,219
2022,Southern Asia Cluster,507.5,3.22091,0.73666,0.184,181.132374,5914
2022,Switzerland,8.8,0.72654,0.48303,0.201,4.967649,709
2022,Tropical Pacific Islands,13.7,0.06037,0.00438,0.001,4.817503,236
2022,United Kingdom,68.2,3.58181,2.69706,0.575,34.472367,4849
2022,United States,341.5,24.2761,17.6786,4.675,169.4941,63572
2022,Western Africa,435.9,2.09796,0.22284,0.07,181.93864,4331
